레이블당 인식 성공률
[1] 인식률: 97.75%
[10] 인식률: 100.0%
[2] 인식률: 99.75%
[3] 인식률: 99.875%
[4] 인식률: 100.0%
[5] 인식률: 97.125%
[6] 인식률: 92.875%
[7] 인식률: 99.25%
[8] 인식률: 100.0%
[9] 인식률: 100.0%
[ㄱ] 인식률: 93.625%
[ㄴ] 인식률: 99.75%
[ㄷ] 인식률: 98.375%
[ㄹ] 인식률: 99.875%
[ㅁ] 인식률: 21.5%
[ㅂ] 인식률: 99.81481481481481%
[ㅅ] 인식률: 75.0%
[ㅇ] 인식률: 96.5%
[ㅈ] 인식률: 89.5%
[ㅊ] 인식률: 44.875%
[ㅋ] 인식률: 79.48051948051949%
[ㅌ] 인식률: 98.31932773109243%
[ㅍ] 인식률: 35.875%
[ㅎ] 인식률: 100.0%
[ㅏ] 인식률: 99.625%
[ㅐ] 인식률: 16.25%
[ㅑ] 인식률: 91.02564102564102%
[ㅒ] 인식률: 75.0%
[ㅓ] 인식률: 46.34146341463415%
[ㅔ] 인식률: 88.25%
[ㅕ] 인식률: 79.125%
[ㅖ] 인식률: 77.625%
[ㅗ] 인식률: 73.625%
[ㅚ] 인식률: 100.0%
[ㅛ] 인식률: 77.25%
[ㅜ] 인식률: 78.25%
[ㅟ] 인식률: 55.875%
[ㅠ] 인식률: 56.99999999999999%
[ㅡ] 인식률: 87.75%
[ㅢ] 인식률: 90.625%
[ㅣ] 인식률: 82.625%



[1] 정확도: 94.02%
[10] 정확도: 91.67%
[2] 정확도: 93.33%
[3] 정확도: 99.17%
[4] 정확도: 95.83%
[5] 정확도: 100.00%
[6] 정확도: 97.30%
[7] 정확도: 97.48%
[8] 정확도: 100.00%
[9] 정확도: 100.00%
[ㄱ] 정확도: 98.21%
[ㄴ] 정확도: 98.33%
[ㄷ] 정확도: 100.00%
[ㄹ] 정확도: 100.00%
[ㅁ] 정확도: 96.15%
[ㅂ] 정확도: 100.00%
[ㅅ] 정확도: 72.22%
[ㅇ] 정확도: 100.00%
[ㅈ] 정확도: 94.39%
[ㅊ] 정확도: 100.00%
[ㅋ] 정확도: 92.39%
[ㅌ] 정확도: 100.00%
[ㅍ] 정확도: 93.02%
[ㅎ] 정확도: 95.24%
[ㅏ] 정확도: 100.00%
[ㅐ] 정확도: 89.47%
[ㅑ] 정확도: 100.00%
[ㅒ] 정확도: 100.00%
[ㅓ] 정확도: 96.91%
[ㅔ] 정확도: 90.91%
[ㅕ] 정확도: 18.18%
[ㅖ] 정확도: 85.94%
[ㅗ] 정확도: 97.73%
[ㅚ] 정확도: 100.00%
[ㅛ] 정확도: 98.92%
[ㅜ] 정확도: 98.94%
[ㅟ] 정확도: 98.51%
[ㅠ] 정확도: 88.24%
[ㅡ] 정확도: 99.05%
[ㅢ] 정확도: 100.00%
[ㅣ] 정확도: 100.00%
